category,store_name,name,original_price,discount_percent,price,sold,rating,comment_count,category_group,is_sold_well
Bộ,BK Fashion6886,Bộ quần áo thể thao nam nữ Sport chất thun lạnh co giãn thấm hút mồ hôi hoạ tiết Loang chữ,110000.0,38.0,68200.0,71.0,4.8,24.0,Thời trang - Thấp,0
Bộ,Thời trang nam 2K,"Bộ quần áo nam mùa hè Icon đen, trắng, chất thun lạnh thể thao",150000.0,39.0,91500.0,482.0,4.6,134.0,Thời trang - Thấp,1
Áo,Sài Gòn Fashion,"Bộ Quần Áo thun nam in hình SD độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",69000.0,71.0,20010.0,120.0,3.9,27.0,Thời trang - Thấp,1
Áo,tokyo.shop,BỘ QUẦN ÁO THỂ THAO NAM MÙA HÈ POLO CHẤT CÁ SẤU CO GIÃN L-NING SÀNH ĐIỆU VIP - TOKYO FASHION,220000.0,40.0,132000.0,103.0,4.4,33.0,Thời trang - Trung+,1
Tất & Quần tất,Vớ thoải mái,"3 Đôi Quần Áo Nữ Mùa Xuân – Thu Màu Kẹo In Chữ, Mẫu Mới Phổ Biến",46700.0,76.0,11208.0,682.0,4.9,160.0,Thời trang - Thấp,1
Áo,Dubaishop,"ĐỒ BỘ THỂ THAO ATAGO NÚI PHÚ SĨ 2022 , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH CAO CẤP HOT 2022 - DUBAI FASHION",90000.0,49.0,45900.0,331.0,4.1,88.0,Thời trang - Thấp,1
Đồ ngủ nữ,CHILI đồ ngủ nữ,Đồ ngủ nữ pijama mặc nhà bộ ngủ hoạt hình cộc tay quần đùi mùa hè dễ thương,99998.0,50.0,49999.0,2100.0,4.9,570.0,Thời trang - Thấp,1
Trang Phục Thể Thao Nam,BULBAL VIỆT NAM,"Bộ quần áo bóng đá, đồ đá banh, bộ đồ thể thao Bulbal CLB  siêu thấm hút mồ hôi kháng khuẩn không gây mùi cơ thể",149000.0,55.0,67050.0,10500.0,4.9,3055.0,Thời trang - Thấp,1
Set bộ đi chơi,CHUYENSI_HOTTREND,Set Bộ Đồ Nữ Áo Thun Phối Tay Bbr Mix Quần Xuông Kẻ Dáng Rộng,94000.0,48.0,48880.0,369.0,4.7,112.0,Thời trang - Thấp,1
Set bộ đi chơi,Changtong Fashion,Bộ váy hai mảnh CHANGTONG cổ chữ V cotton thoáng khí phong cách Hàn Quốc thanh lịch mùa thu,936000.0,42.0,542880.0,0.0,4.9,13.0,Thời trang - Trung+,0
Set bộ đi chơi,Shalldoer Fashion,Shalldoer | Bộ Đồ Thời Trang Giảm Cân: Áo Ngực Ren & Quần Jeans,316000.0,30.0,221200.0,0.0,4.8,14.0,Thời trang - Trung+,0
Set bộ đi chơi,Shalldoer Fashion,Shalldoer | Bộ Đồ Thể Thao Mùa Hè Thời Trang Dành Cho Giới Trẻ Áo Tay Ngắn và Quần Ống Rộng,526000.0,30.0,368200.0,0.0,4.7,10.0,Thời trang - Trung+,0
Set bộ đi chơi,MINH THU SHOPPING,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ MẪU MỚI THUN LẠNH ĐÙI DÂY NƠ TRƠN SIÊU DỄ THƯƠNG TÙY CHIỀU CAO,75000.0,53.0,35250.0,3200.0,4.5,557.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,[3 SIZE 45-70KG) Đồ bộ LỤA ĐÙI CHẤM BI CHẤT VẢI LỤA HÀN MỀM MÁT thời trang,99000.0,53.0,46530.0,8100.0,4.9,2411.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,[3 size 46-70kg] Đồ bộ LỤA ĐÙI CHẤM BI MỀM MÁT DỄ THƯƠNG thời trang,99000.0,53.0,46530.0,3300.0,4.8,735.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,[3 size 42-70KG] Đồ bộ LỤA LATIN NƠ TRƯỚC NGỰC MỀM MÁT SIÊU DỄ THƯƠNG thời trang,139000.0,39.0,84790.0,13500.0,4.9,2850.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ ĐÙI CỔ TRÒN THUN LẠNH DỄ THƯƠNG TÙY CHIỀU CAO,76000.0,52.0,36480.0,2400.0,4.9,788.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ THUN LẠNH DÂY BẢN PHỐI REN SEXY THỜI TRANG,72000.0,52.0,34560.0,6200.0,4.9,1054.0,Thời trang - Thấp,1
Set bộ đi chơi,BÁN HÀNG GIÁ SỈ.,[3 SIZE 45-65KG TÙY CHIỀU CAO] ĐỒ BỘ THUN DÀI PARI SIÊU MỚI TINH HOT THỜI TRANG CHẤT THUN MỀM MỊN CO GIÃN 4 CHIỀU,146000.0,47.0,77380.0,3000.0,4.8,786.0,Thời trang - Thấp,1
Set bộ đi chơi,BÁN HÀNG GIÁ SỈ.,[3 size 46-70KG] Đồ bộ LỬNG LỤA BÔNG MÀU MỀM MÁT KHÔNG NHĂN DỄ THƯƠNG thời trang,103000.0,47.0,54590.0,1700.0,4.9,558.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,"[3 size 46-70KG] Đồ bộ LỤA LỬNG TIỂU THƯ HOA LÁ, PIJAMA MẶC NHÀ DỄ THƯƠNG thời trang",138000.0,53.0,64859.0,8500.0,4.9,2453.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,"CÓ SIZE 70KG ĐỒ BỘ ĐÙI THUN ĐŨA, ĐÙI CON GẤU THỜI TRANG chất liệu thun cotton",119000.0,45.0,65450.0,7300.0,4.9,2039.0,Thời trang - Thấp,1
Set bộ đi chơi,HUỲNH PHẠM SHOP,SET BỘ TĂM LẠNH TÀ CHÉO THỜI TRANG SIÊU DỄ THƯƠNG,178000.0,47.0,94340.0,682.0,4.9,239.0,Thời trang - Thấp,1
Set bộ đi chơi,HUỲNH PHẠM SHOP,set bộ tay ngắn quần kẻ thời trang siêu xinh,178000.0,53.0,83660.0,490.0,4.9,152.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,"ĐỒ BỘ THUN PARI  , TĂM GẤU MẪU MỚI TINH VẢI THUN MỀM MỊN THOẢI MÁI 3 SIZE 42-65KG TÙY CHIỀU CAO",159000.0,53.0,74730.0,3400.0,4.9,920.0,Thời trang - Thấp,1
Set bộ đi chơi,HUỲNH PHẠM SHOP,SET BỘ THỜI TRANG ÁO NƠ IN CHỮ PHỐI QUẦN LỤA XINH XẮN,178000.0,53.0,83660.0,1400.0,4.9,471.0,Thời trang - Thấp,1
Set bộ đi chơi,MINH THU SHOPPING,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ THUN LẠNH ĐÙI DÂY NƠ TRƠN SIÊU DỄ THƯƠNG TÙY CHIỀU CAO,78000.0,54.0,35880.0,3800.0,4.9,1119.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,ĐỒ BỘ ĐÙI TRƠN THUN TĂM THỜI TRANG 3 size 45-60KG chất liệu thun cotton,158000.0,59.0,64780.0,2800.0,4.8,608.0,Thời trang - Thấp,1
Set bộ đi chơi,Đỗ Thiện Unisex,"Bộ thể thao huda ,sài gòn, tiger, heineken, bọt bi.a, larue Mặc Nhóm Gia Đình chất Thun Lạnh size 10-100kg",149000.0,41.0,87910.0,82.0,4.9,16.0,Thời trang - Thấp,0
Set bộ đi chơi,WINNY SHOP 1605685735,[2 SIZE 45-68KG TÙY CHIỀU CAO] SET ĐÙI THUN LẠNH CỔ TRÒN DỄ THƯƠNG TÙY CHIỀU CAO,76000.0,52.0,36480.0,1200.0,4.9,463.0,Thời trang - Thấp,1
Đồ ngủ nữ,d3odSmYq.Selection,Bộ Đồ Ngủ Nữ Mùa Hè Lụa Mỏng Sexy – Áo Ngắn Tay & Quần Short Size M/L/XL,96600.0,62.0,36708.0,1400.0,4.9,443.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,Đồ bộ LỤA LỬNG BÔNG MÀU CỔ VUÔNG PHỐI REN KHÔNG NHĂN DỄ THƯƠNG thời trang,139000.0,60.0,55600.0,1800.0,4.9,448.0,Thời trang - Thấp,1
Set bộ đi chơi,MINH THU SHOPPING,"FREESIZE 45-58KG TÙY CHIỀU CAO SET ĐỒ BỘ ĐÙI THUN LẠNH GIỌT NƯỚC, BÔNG NỀN ĐEN SIÊU MỀM MÁT THỜI TRANG",69000.0,48.0,35880.0,2000.0,4.8,288.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ SÁT NÁCH THUN LẠNH DỄ THƯƠNG TÙY CHIỀU CAO,78000.0,53.0,36660.0,567.0,4.8,212.0,Thời trang - Thấp,1
Set bộ đi chơi,Pic Poc Store 2018,Combo 2 bộ mặc nhà thun cotton tay ngắn short Paris cho bạn gái - hàng QC CB2A00066,120000.0,59.0,49200.0,279.0,4.5,63.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,[3 size 42-70KG] Đồ bộ LATIN NƠ TRƯỚC NGỰC CHẤT VẢI MỀM MÁT SIÊU DỄ THƯƠNG thời trang,178000.0,53.0,83660.0,537.0,4.8,159.0,Thời trang - Thấp,1
Set bộ đi chơi,WINNY SHOP 1605685735,Đồ bộ THUN LẠNH MÁT CỔ TIM MẶC NHÀ SEXY THỜI TRANG FREESIZE 45-60kg tùy chiều cao,79000.0,53.0,37130.0,4800.0,4.8,704.0,Thời trang - Thấp,1
Áo,Sài Gòn Fashion,"Bộ Quần Áo thun nam OP vải thun lạnh siêu mát, thiết kế thời trang",69000.0,71.0,20010.0,0.0,0.0,0.0,Thời trang - Thấp,0
Bộ,Thời trang nam 2K,"Bộ quần áo nam mùa hè DSQ-2 chất thun lạnh, quần có túi kéo khóa",150000.0,39.0,91500.0,77.0,4.8,18.0,Thời trang - Thấp,0
Đồ ngủ nữ,CHILI đồ ngủ nữ,"Đồ bộ mặc nhà 2 dây bảng to, đồ ngủ dễ thương chất vải kate kẻ mềm ,đồ ngủ nữ free size từ 38-55 kg",111998.0,46.0,60478.0,151.0,4.8,37.0,Thời trang - Thấp,1
Áo,YES FASHION,"Bộ Quần Áo thun nam 3 lỗ vải thun lạnh siêu mát, đủ màu",25900.0,47.0,13727.0,247.0,2.6,57.0,Thời trang - Thấp,1
Đồ ngủ nữ,CHILI đồ ngủ nữ,Pijama tay dài cổ vuông bộ đồ ngủ nữ pijama tiểu thư dài tay mặc nhà thu đông CARY,127998.0,45.0,70398.0,310.0,4.6,82.0,Thời trang - Thấp,1
Áo,Dubaishop,ĐỒ BỘ THỂ THAO MA JOURNEY  SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH ĐẲNG CẤP NEW HOT 2023 - DUBAI FASHION,170000.0,62.0,64600.0,2600.0,4.3,578.0,Thời trang - Thấp,1
Áo,Dubaishop,ĐỒ BỘ THỂ THAO DONT STOP TRÀ SỮA  SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH HOT NHẤT 2025 - DUBAI FASHION,170000.0,52.0,81600.0,2200.0,4.8,551.0,Thời trang - Thấp,1
Áo,Dubaishop,"ĐỒ BỘ THỂ THAO HARARD NEW , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH SÀNH ĐIỆU VIP - DUBAI FASHION",170000.0,52.0,81600.0,392.0,4.6,102.0,Thời trang - Thấp,1
Bộ,BK Fashion6886,Bộ quần áo thể thao nam Sport chất thun lạnh co giãn thoáng khí phối Sọc kẻ,110000.0,38.0,68200.0,101.0,5.0,28.0,Thời trang - Thấp,1
Đồ ngủ nữ,d3odSmYq.Selection,"Đồ Ngủ Lụa Hàn Quốc Dài Tay – Sang Trọng, Mềm Mại & Thoải Mái Cho Cả Nam và Nữ",110900.0,57.0,47687.0,621.0,4.9,202.0,Thời trang - Thấp,1
Bộ,Thời trang nam 2K,"Bộ quần áo nam mùa hè BH03 chất thun lạnh, quần có túi kéo khóa",150000.0,39.0,91500.0,17.0,5.0,5.0,Thời trang - Thấp,0
Bộ,MINHSTORE66 Xưởng Thời Trang,"Bộ đồ thể thao Nam Nữ Mùa Hè Chất xốp vân cao cấp, bộ đồ ngắn tay nam nữ, bộ cộc tay nam nữ Cổ Tròn hottrend hè 2024 BO21 - MINHSTORE66",290000.0,56.0,127599.0,457.0,4.9,118.0,Thời trang - Trung+,1
