category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,category_group
Bộ,BK Fashion6886,110000,38,68200,24.0,4.8,Bộ quần áo thể thao nam nữ Sport chất thun lạnh co giãn thấm hút mồ hôi hoạ tiết Loang chữ,71,Thời trang khác
Bộ,Thời trang nam 2K,150000,39,91500,134.0,4.6,"Bộ quần áo nam mùa hè Icon đen, trắng, chất thun lạnh thể thao",482,Thời trang khác
Áo,Sài Gòn Fashion,69000,71,20010,27.0,3.9,"Bộ Quần Áo thun nam in hình SD độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",120,Áo
Áo,tokyo.shop,220000,40,132000,33.0,4.4,BỘ QUẦN ÁO THỂ THAO NAM MÙA HÈ POLO CHẤT CÁ SẤU CO GIÃN L-NING SÀNH ĐIỆU VIP - TOKYO FASHION,103,Áo
Tất & Quần tất,Vớ thoải mái,46700,76,11208,160.0,4.9,"3 Đôi Quần Áo Nữ Mùa Xuân – Thu Màu Kẹo In Chữ, Mẫu Mới Phổ Biến",682,Thời trang khác
Áo,Dubaishop,90000,49,45900,88.0,4.1,"ĐỒ BỘ THỂ THAO ATAGO NÚI PHÚ SĨ 2022 , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH CAO CẤP HOT 2022 - DUBAI FASHION",331,Áo
Đồ ngủ nữ,CHILI đồ ngủ nữ,99998,50,49999,570.0,4.9,Đồ ngủ nữ pijama mặc nhà bộ ngủ hoạt hình cộc tay quần đùi mùa hè dễ thương,2100,Đồ ngủ nữ
Trang Phục Thể Thao Nam,BULBAL VIỆT NAM,149000,55,67050,3055.0,4.9,"Bộ quần áo bóng đá, đồ đá banh, bộ đồ thể thao Bulbal CLB  siêu thấm hút mồ hôi kháng khuẩn không gây mùi cơ thể",10500,Thời trang khác
Set bộ đi chơi,CHUYENSI_HOTTREND,94000,48,48880,112.0,4.7,Set Bộ Đồ Nữ Áo Thun Phối Tay Bbr Mix Quần Xuông Kẻ Dáng Rộng,369,Set bộ đi chơi
Set bộ đi chơi,Changtong Fashion,936000,42,542880,13.0,4.9,Bộ váy hai mảnh CHANGTONG cổ chữ V cotton thoáng khí phong cách Hàn Quốc thanh lịch mùa thu,0,Set bộ đi chơi
