category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,link
Bộ,BK Fashion6886,110.000 ₫,-38%,68200,(24),4.8,Bộ quần áo thể thao nam nữ Sport chất thun lạnh co giãn thấm hút mồ hôi hoạ tiết Loang chữ,71 Đã bán,https://www.lazada.vn/products/pdp-i2614327297.html
Bộ,Thời trang nam 2K,150.000 ₫,-39%,91500,(134),4.6,"Bộ quần áo nam mùa hè Icon đen, trắng, chất thun lạnh thể thao",482 Đã bán,https://www.lazada.vn/products/pdp-i2587663322.html
Áo,Sài Gòn Fashion,69.000 ₫,-71%,20010,(27),3.9,"Bộ Quần Áo thun nam in hình SD độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",120 Đã bán,https://www.lazada.vn/products/pdp-i564506353.html
Áo,tokyo.shop,220.000 ₫,-40%,132000,(33),4.4,BỘ QUẦN ÁO THỂ THAO NAM MÙA HÈ POLO CHẤT CÁ SẤU CO GIÃN L-NING SÀNH ĐIỆU VIP - TOKYO FASHION,103 Đã bán,https://www.lazada.vn/products/pdp-i2655628137.html
Tất & Quần tất,Vớ thoải mái,46.700 ₫,-76%,11208,(160),4.9,"3 Đôi Quần Áo Nữ Mùa Xuân – Thu Màu Kẹo In Chữ, Mẫu Mới Phổ Biến",682 Đã bán,https://www.lazada.vn/products/pdp-i2545265608.html
Áo,Dubaishop,90.000 ₫,-49%,45900,(88),4.1,"ĐỒ BỘ THỂ THAO ATAGO NÚI PHÚ SĨ 2022 , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH CAO CẤP HOT 2022 - DUBAI FASHION",331 Đã bán,https://www.lazada.vn/products/pdp-i1402582985.html
Đồ ngủ nữ,CHILI đồ ngủ nữ,99.998 ₫,-50%,49999,(570),4.9,Đồ ngủ nữ pijama mặc nhà bộ ngủ hoạt hình cộc tay quần đùi mùa hè dễ thương,2.1K Đã bán,https://www.lazada.vn/products/pdp-i2205793953.html
Bộ,BK Fashion6886,110.000 ₫,-38%,68200,(24),4.8,Bộ quần áo thể thao nam nữ Sport chất thun lạnh co giãn thấm hút mồ hôi hoạ tiết Loang chữ,71 Đã bán,https://www.lazada.vn/products/pdp-i2614327297.html
Trang Phục Thể Thao Nam,Quần Áo Bóng Đá HT Store,,,,(9),5,Quần Áo Bóng Đá- Bộ Quần Áo Đá Bóng Trẻ Em Amac Lửa Hồng Chất Thun Thái Mềm Mát Sz 25-85kg,29 Đã bán,https://www.lazada.vn/products/pdp-i3076737457.html
Trang Phục Thể Thao Nam,BULBAL VIỆT NAM,149.000 ₫,-55%,67050,(3055),4.9,"Bộ quần áo bóng đá, đồ đá banh, bộ đồ thể thao Bulbal CLB  siêu thấm hút mồ hôi kháng khuẩn không gây mùi cơ thể",10.5K Đã bán,https://www.lazada.vn/products/pdp-i1356425180.html
Set bộ đi chơi,CHUYENSI_HOTTREND,94.000 ₫,-48%,48880,(112),4.7,Set Bộ Đồ Nữ Áo Thun Phối Tay Bbr Mix Quần Xuông Kẻ Dáng Rộng,369 Đã bán,https://www.lazada.vn/products/pdp-i2633561733.html
Set bộ đi chơi,Changtong Fashion,936.000 ₫,-42%,542880,(13),4.9,Bộ váy hai mảnh CHANGTONG cổ chữ V cotton thoáng khí phong cách Hàn Quốc thanh lịch mùa thu,,https://www.lazada.vn/products/pdp-i3171428138.html
