category,store_name,original_price,discount_percent,price,rating,comment_count,name,sold,link
Snacks & Confectionery,Otto Shop.Selection,"₫ 42,000",-29%,"₫30,000",5,(16413),Kẹo socola sữa Popit Doraemon 212gr | Socola | Đồ ăn vặt,61.1K sold,https://www.lazada.vn/products/pdp-i2427303130.html
Snacks & Confectionery,Kinh Đô.Selection,"₫ 21,700",-29%,"₫15,500",4.9,(386),Oreo Bánh Quế – Gói 54g (Vanilla & Socola) Bánh Quy & Bánh Nướng,2.8K sold,https://www.lazada.vn/products/pdp-i2904221937.html
Snacks & Confectionery,Otto Shop.Selection,"₫ 31,500",-29%,"₫22,500",5,(17874),Bánh phủ socola Choco PN SoSof 216g | Bánh ăn vặt Socola | Đồ ăn vặt,58.2K sold,https://www.lazada.vn/products/pdp-i2554106670.html
Food Staples & Cooking Essentials,pdgroup.Selection,"₫ 33,100",-25%,"₫24,700",5,(12514),Túi 200gr Sườn Non chay đậu nành cao cấp,36.6K sold,https://www.lazada.vn/products/pdp-i2502948952.html
Food Staples & Cooking Essentials,Brothers Shop,"₫ 10,000",-36%,"₫6,400",4.8,(496),⭐SET 50 món ăn vặt cay nội địa Trυng tự chọn,5.2K sold,https://www.lazada.vn/products/pdp-i1867634129.html
Food Staples & Cooking Essentials,Storebinhtantphcm,"₫ 18,000",-50%,"₫4,000",4.8,(1212),SIÊU NGON BÁNH TRÁNG TRỘN THẬP CẨM TÂY NINH KÈM NƯỚC SỐT FULL TOPING,8.9K sold,https://www.lazada.vn/products/pdp-i2055704208.html
Food Staples & Cooking Essentials,Tạp Hoá HULA,"₫ 35,000",-20%,"₫28,000",5,(215),1 Kg Quẩy Đùi Gà Phô Mai Cay Thơm Giòn Khó Cưỡng - Đồ Ăn Vặt Việt Nam,854 sold,https://www.lazada.vn/products/pdp-i2581207552.html
Snacks & Confectionery,ChengMei food.Selection,"₫ 45,500",-29%,"₫32,500",4.9,(1642),[100gr/100 viên] Kẹo Ngậm không Đường Thơm Miệng Vị Trái Cây,9.6K sold,https://www.lazada.vn/products/pdp-i2598662003.html
Snacks & Confectionery,SuSuTo Shop.Selection,"₫ 51,800",-23%,"₫39,800",5,(7373),"kẹo dâu tây dâu tằm Đà Lạt hộp 500g nhìn là muốn ăn ngay sang trọng hợp vệ sinh, món đồ ăn vặt đưa về ký ức tuổi thơ tuyệt vời",27.7K sold,https://www.lazada.vn/products/pdp-i2409956794.html
Food Staples & Cooking Essentials,pdgroup.Selection,"₫ 26,800",-29%,"₫19,100",4.9,(1509),100gr tép sấy ăn liền đặc biệt thơm ngon ăn bánh tráng - nhậu lai rai - ăn với gỏi đồ ăn vặt giá rẻ,4.4K sold,https://www.lazada.vn/products/pdp-i2619666503.html
Snacks & Confectionery,ChengMei food.Selection,"₫ 50,600",-29%,"₫36,100",4.9,(2983),1 bịch 100 viên Kẹo Cafe Không Đường Kẹo Ăn Kiêng,32.4K sold,https://www.lazada.vn/products/pdp-i2598523988.html
Snacks & Confectionery,Ăn vặt store TD,,,"₫65,000",4.9,(5862),500gr lạp xưởng tôm đất Sóc Trăng,30.0K sold,https://www.lazada.vn/products/pdp-i519954856.html
Snacks & Confectionery,WANT WANT Store,,,"₫8,500",5,(1677),"Kẹo Dẻo Want Want QQ Gummies Chân Mèo 2 Lớp Nhiều Vị Gói 24.5g, Kẹo Trái Cây Mềm Dẻo, Thơm Ngon",13.5K sold,https://www.lazada.vn/products/pdp-i3106784549.html
Snacks & Confectionery,thucduong.healthy shop,"₫ 99,000",-24%,"₫50,000",4.9,(63),"Bánh Gừng Táo Đỏ Không Đường 500G, Đồ Ăn Nhẹ Tốt Cho Sức Khoẻ , Dưỡng Thần, Tâm An, Khí Huyết Lưu Thông - Snack food Thức ăn vặt",203 sold,https://www.lazada.vn/products/pdp-i2918692145.html
Snacks & Confectionery,Ăn vặt store TD,,,"₫9,000",4.7,(163),xả lỗ - 100gr kẹo dẻo vuông,1.6K sold,https://www.lazada.vn/products/pdp-i2309582051.html
Snacks & Confectionery,ChengMei food.Selection,"₫ 45,100",-29%,"₫32,200",4.9,(1264),"(100 viên) Kẹo cà phê đường đen, Kẹo đậu phộng, Kẹo matcha latte",5.1K sold,https://www.lazada.vn/products/pdp-i2598524962.html
Snacks & Confectionery,BACH HOA YEN HOA,,,"₫39,000",4.9,(146),1kg Bánh tai heo nhí,405 sold,https://www.lazada.vn/products/pdp-i2422634261.html
Snacks & Confectionery,Chuồn Chuồn Đỏ.Selection,"₫ 37,000",-29%,"₫26,400",4.4,(35),"Kẹo Dẻo Cokoc Đủ Hương Vị - Kẹo Trái Cây Lột Vỏ 3D Bobo Ít Đường, Tốt Cho Sức Khỏe",121 sold,https://www.lazada.vn/products/pdp-i2807253631.html
Snacks & Confectionery,Tân Lộc Phát Food.Selection,"₫ 26,800",-29%,"₫19,100",5,(4),KẸO ME CAY XÍ MUỘI TÂN LỘC PHÁT - BỊCH 80G,109 sold,https://www.lazada.vn/products/pdp-i3111301274.html
Snacks & Confectionery,Viettin Mart 1593072786,"₫ 99,000",-51%,"₫52,500",4.9,(169),Kẹo Dẻo Chip Chip 500g VietTin Mart,730 sold,https://www.lazada.vn/products/pdp-i1228758697.html
Snacks & Confectionery,SHOP HAIMY,"₫ 80,000",-34%,"₫53,000",4.9,(127),1kg (2 bags) 500g/1kg customized Da Nang M Candy,414 sold,https://www.lazada.vn/products/pdp-i2065194423.html
Snacks & Confectionery,SHOP ĂN VẶT NỘI ĐỊA - NHẬP KHẨU NHÀ BƠ,"₫ 99,000",-30%,"₫69,000",4.6,(18),Túi 500g Kẹo Dẻo Chip Chip Mix Nhiều Vị Trái Cây Siêu Ngon Cho Bé Yêu ( Giao Mix Vị Ngẫu Nhiên ),73 sold,https://www.lazada.vn/products/pdp-i3019626826.html
