category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,link
,Bum Bum House,105.000 ₫,-47%,55650,(1459),4.9,"Set 60 màu ACRYLIC Marker ĐẦU NHỌN CHỐNG THẤM NƯỚC Không Vẽ Lên Đồ Vật Nhẵn, lau được khi dính lên da",6.8K Đã bán,https://www.lazada.vn/products/pdp-i2626804817.html
Dụng cụ chăm sóc Sắc đẹp,7B2Nei.Selection,29.300 ₫,-29%,20803,(7580),5.0,"Túi Đựng Mỹ Phẩm/Đồ Trang Điểm WashBag Trong Suốt Chống Thấm Nước – Tiện Lợi, Thời Trang & Đa Năng - Nhiều Size",26.1K Đã bán,https://www.lazada.vn/products/pdp-i2502929841.html
Trang điểm,Mỹ Phẩm Thuý Hường,132.500 ₫,-7%,123225,(55),5.0,Bộ Trang Điểm Makuep Cơ Bản Đầy Đủ [12 Món Y8] Bộ Sản Phẩm Makep Của Nữ Dành Cho Người Mới Tập Trang Điểm Mỹ Phẩm Cosmetic,172 Đã bán,https://www.lazada.vn/products/pdp-i2661069588.html
Nhập vai Phục trang & Dạ tiệc,Toyfun-VN,163.000 ₫,-16%,136920,(34),5.0,Bộ đồ chơi mỹ phẩm dụng cụ trang điểm 33 món không độc hại chất liệu an toàn thích hợp cho bé,125 Đã bán,https://www.lazada.vn/products/pdp-i2721530947.html
Nhập vai Phục trang & Dạ tiệc,Hoa Hướng Dương Store,140.000 ₫,-49%,71400,(8),5.0,Bộ Phấn Trang Điểm Make Up Kit A.D.S - Trang Điểm Bột Hộp Trang Điểm Bộ Sinh Viên Trang Điểm Set Full,37 Đã bán,https://www.lazada.vn/products/pdp-i2607865903.html
Nhập vai Phục trang & Dạ tiệc,Toy-VN,269.000 ₫,-41%,158710,(190),4.9,Bộ đồ chơi mỹ phẩm mô phỏng bàn trang điểm nhiều màu cho bé - Sản phẩm an toàn không độc hại cho bé,605 Đã bán,https://www.lazada.vn/products/pdp-i2439229135.html
Trang điểm,Mỹ Phẩm Thuý Hường,149.000 ₫,-7%,138570,(480),4.8,Bộ Trang Điểm[12 Món X4]Đầy Đủ Makeup/Trang Điểm Đi Tiệc/Trang Điểm Cá Nhân Cơ Bản [12 Món X4],1.6K Đã bán,https://www.lazada.vn/products/pdp-i2495559111.html
Trang điểm,Mỹ Phẩm Thuý Hường,139.500 ₫,-14%,119970,(8),4.3,Bộ Trang Điểm Makuep Cơ Bản Đầy Đủ [12 Món Z5] Bộ Sản Phẩm Makep Của Nữ Dành Cho Người Mới Tập Trang Điểm Mỹ Phẩm Cosmetic,33 Đã bán,https://www.lazada.vn/products/pdp-i2661005914.html
Trang điểm,MICOMI Cosmetics,258.000 ₫,-50%,129000,(43),4.8,"Bộ Trang Điểm Đầy Đủ 15 Món Set Trang Điểm Makeup Từ A-Z Đi Tiệc Đi Chơi Đi Làm MICOMI Cosmetics Kem Nền, Phấn Phủ, Phấn Mắt, Mascara, Chì Kẻ Mày, Kẻ Mắt, Son Môi",178 Đã bán,https://www.lazada.vn/products/pdp-i1549223017.html
,Đồ chơi thông minh Alice,100.000 ₫,-15%,85000,(22),5.0,Bút màu Acrylic Marker 12 24 36 48 60 80 cao cấp màu sắc tươi sáng không lem - Bút lông màu,79 Đã bán,https://www.lazada.vn/products/pdp-i2603084748.html
