category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,link
Bộ,BK Fashion6886,110000,38%,68200,24,4.8,Bộ quần áo thể thao nam nữ Sport chất thun lạnh co giãn thấm hút mồ hôi hoạ tiết Loang chữ,71,https://www.lazada.vn/products/pdp-i2614327297.html
Bộ,Thời trang nam 2K,150000,39%,91500,134,4.6,"Bộ quần áo nam mùa hè Icon đen, trắng, chất thun lạnh thể thao",482,https://www.lazada.vn/products/pdp-i2587663322.html
Áo,Sài Gòn Fashion,69000,71%,20010,27,3.9,"Bộ Quần Áo thun nam in hình SD độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",120,https://www.lazada.vn/products/pdp-i564506353.html
Áo,tokyo.shop,220000,40%,132000,33,4.4,BỘ QUẦN ÁO THỂ THAO NAM MÙA HÈ POLO CHẤT CÁ SẤU CO GIÃN L-NING SÀNH ĐIỆU VIP - TOKYO FASHION,103,https://www.lazada.vn/products/pdp-i2655628137.html
Tất & Quần tất,Vớ thoải mái,46700,76%,11208,160,4.9,"3 Đôi Quần Áo Nữ Mùa Xuân – Thu Màu Kẹo In Chữ, Mẫu Mới Phổ Biến",682,https://www.lazada.vn/products/pdp-i2545265608.html
Áo,Dubaishop,90000,49%,45900,88,4.1,"ĐỒ BỘ THỂ THAO ATAGO NÚI PHÚ SĨ 2022 , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH CAO CẤP HOT 2022 - DUBAI FASHION",331,https://www.lazada.vn/products/pdp-i1402582985.html
Đồ ngủ nữ,CHILI đồ ngủ nữ,99998,50%,49999,570,4.9,Đồ ngủ nữ pijama mặc nhà bộ ngủ hoạt hình cộc tay quần đùi mùa hè dễ thương,2100,https://www.lazada.vn/products/pdp-i2205793953.html
Trang Phục Thể Thao Nam,BULBAL VIỆT NAM,149000,55%,67050,3055,4.9,"Bộ quần áo bóng đá, đồ đá banh, bộ đồ thể thao Bulbal CLB  siêu thấm hút mồ hôi kháng khuẩn không gây mùi cơ thể",10500,https://www.lazada.vn/products/pdp-i1356425180.html
Set bộ đi chơi,CHUYENSI_HOTTREND,94000,48%,48880,112,4.7,Set Bộ Đồ Nữ Áo Thun Phối Tay Bbr Mix Quần Xuông Kẻ Dáng Rộng,369,https://www.lazada.vn/products/pdp-i2633561733.html
Set bộ đi chơi,Changtong Fashion,936000,42%,542880,13,4.9,Bộ váy hai mảnh CHANGTONG cổ chữ V cotton thoáng khí phong cách Hàn Quốc thanh lịch mùa thu,0,https://www.lazada.vn/products/pdp-i3171428138.html
Set bộ đi chơi,Shalldoer Fashion,316000,30%,221200,14,4.8,Shalldoer | Bộ Đồ Thời Trang Giảm Cân: Áo Ngực Ren & Quần Jeans,0,https://www.lazada.vn/products/pdp-i3183299238.html
Set bộ đi chơi,Shalldoer Fashion,526000,30%,368200,10,4.7,Shalldoer | Bộ Đồ Thể Thao Mùa Hè Thời Trang Dành Cho Giới Trẻ Áo Tay Ngắn và Quần Ống Rộng,0,https://www.lazada.vn/products/pdp-i3183304176.html
Set bộ đi chơi,MINH THU SHOPPING,75000,53%,35250,557,4.5,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ MẪU MỚI THUN LẠNH ĐÙI DÂY NƠ TRƠN SIÊU DỄ THƯƠNG TÙY CHIỀU CAO,3200,https://www.lazada.vn/products/pdp-i293392544.html
Set bộ đi chơi,WINNY SHOP 1605685735,99000,53%,46530,2411,4.9,[3 SIZE 45-70KG) Đồ bộ LỤA ĐÙI CHẤM BI CHẤT VẢI LỤA HÀN MỀM MÁT thời trang,8100,https://www.lazada.vn/products/pdp-i2070420835.html
Set bộ đi chơi,WINNY SHOP 1605685735,99000,53%,46530,735,4.8,[3 size 46-70kg] Đồ bộ LỤA ĐÙI CHẤM BI MỀM MÁT DỄ THƯƠNG thời trang,3300,https://www.lazada.vn/products/pdp-i974908294.html
Set bộ đi chơi,WINNY SHOP 1605685735,139000,39%,84790,2850,4.9,[3 size 42-70KG] Đồ bộ LỤA LATIN NƠ TRƯỚC NGỰC MỀM MÁT SIÊU DỄ THƯƠNG thời trang,13500,https://www.lazada.vn/products/pdp-i1085922456.html
Set bộ đi chơi,WINNY SHOP 1605685735,76000,52%,36480,788,4.9,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ ĐÙI CỔ TRÒN THUN LẠNH DỄ THƯƠNG TÙY CHIỀU CAO,2400,https://www.lazada.vn/products/pdp-i2403146320.html
Set bộ đi chơi,WINNY SHOP 1605685735,72000,52%,34560,1054,4.9,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ THUN LẠNH DÂY BẢN PHỐI REN SEXY THỜI TRANG,6200,https://www.lazada.vn/products/pdp-i974958538.html
Set bộ đi chơi,BÁN HÀNG GIÁ SỈ.,146000,47%,77380,786,4.8,[3 SIZE 45-65KG TÙY CHIỀU CAO] ĐỒ BỘ THUN DÀI PARI SIÊU MỚI TINH HOT THỜI TRANG CHẤT THUN MỀM MỊN CO GIÃN 4 CHIỀU,3000,https://www.lazada.vn/products/pdp-i783040054.html
Set bộ đi chơi,BÁN HÀNG GIÁ SỈ.,103000,47%,54590,558,4.9,[3 size 46-70KG] Đồ bộ LỬNG LỤA BÔNG MÀU MỀM MÁT KHÔNG NHĂN DỄ THƯƠNG thời trang,1700,https://www.lazada.vn/products/pdp-i1763357428.html
Set bộ đi chơi,WINNY SHOP 1605685735,138000,53%,64859,2453,4.9,"[3 size 46-70KG] Đồ bộ LỤA LỬNG TIỂU THƯ HOA LÁ, PIJAMA MẶC NHÀ DỄ THƯƠNG thời trang",8500,https://www.lazada.vn/products/pdp-i1627119302.html
Set bộ đi chơi,WINNY SHOP 1605685735,119000,45%,65450,2039,4.9,"CÓ SIZE 70KG ĐỒ BỘ ĐÙI THUN ĐŨA, ĐÙI CON GẤU THỜI TRANG chất liệu thun cotton",7300,https://www.lazada.vn/products/pdp-i1085984218.html
Set bộ đi chơi,HUỲNH PHẠM SHOP,178000,47%,94340,239,4.9,SET BỘ TĂM LẠNH TÀ CHÉO THỜI TRANG SIÊU DỄ THƯƠNG,682,https://www.lazada.vn/products/pdp-i2487015023.html
Set bộ đi chơi,HUỲNH PHẠM SHOP,178000,53%,83660,152,4.9,set bộ tay ngắn quần kẻ thời trang siêu xinh,490,https://www.lazada.vn/products/pdp-i2934382398.html
Set bộ đi chơi,WINNY SHOP 1605685735,159000,53%,74730,920,4.9,"ĐỒ BỘ THUN PARI  , TĂM GẤU MẪU MỚI TINH VẢI THUN MỀM MỊN THOẢI MÁI 3 SIZE 42-65KG TÙY CHIỀU CAO",3400,https://www.lazada.vn/products/pdp-i972096512.html
