category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,link,
Camera giám sát & hệ thống,2Tech Store,1.120.000 ₫,-37%,705600,-629,4.8,Camera Wifi Thông Minh EZVIZ C6N Pro 3MP 2K Quay Quét Đàm Thoại Hai Chiều,3.1K Đã bán,https://www.lazada.vn/products/pdp-i1766486634.html,
Điện,Good Luck VN,100.000 ₫,-45%,55000,-119,4.4,"Đồng hồ đo điện vạn năng Samwa YX-360 TRn, Đồng hồ vạn năng tương tự Sanwa, tặng kèm pin 9V",466 Đã bán,https://www.lazada.vn/products/pdp-i2671225712.html,
Điện,yến sàoo,70.000 ₫,-39%,42700,-77,4.8,Combo 2 ổ Cắm Điện Thông Minh Đa Năng Cổng Sạc USB,327 Đã bán,https://www.lazada.vn/products/pdp-i2626240202.html,
Điện,HC CENTER,75.000 ₫,-48%,39000,-244,4.4,"Ổ Cắm Điện - Ổ Điện Đa Năng Loại Xịn Có Cổng Gắn USB Sạc Điện Thoại Kiêm Đèn Ngủ Cực Đẹp - Ổ điện chia 2 cổng USB kiêm đèn ngủ, Ổ CẮM ĐIỆN THÔNG MINH KIÊM ĐÈN NGỦ LED & 2 CỔNG USB CÓ CÔNG TẮC",1.4K Đã bán,https://www.lazada.vn/products/pdp-i479292758.html,
Điện,TỔNG KHO GIA DỤNG 1587825305,,,,-67,4.7,Ổ cắm điện đa năng 7 Cổng Sạc USB 2 Cáp USB 3 Và 5M Dây Cáp Dày Chất Lượng Cao 100% Chính Hãng,273 Đã bán,https://www.lazada.vn/products/pdp-i2708713623.html,
Phụ kiện điện thoại & máy tính bảng,YK SHOPS,20.000 ₫,-53%,9400,-65,4.7,[ FREESHIP KÈM CÁP SẠC] PIN SẠC DỰ PHÒNG CAO CẤP THIẾT KẾ MÀN HÌNH LED CỰC SANG TRỌNG - 2 CỔNG SẠC NHANH + ĐÈN LED SIÊU SÁNG TẦM NHÌN TỐT - SẠC DỰ PHÒNG AN TOÀN CHO MỌI DÒNG ĐIỆN THOẠI,89 Đã bán,https://www.lazada.vn/products/pdp-i2696970713.html,
Điện,CleverOfficial Store,226.000 ₫,-40%,135600,-27,5,⚡Miễn Phí Vận Chuyển⚡vận chuyển nhanh DT9205A Đồng hồ vạn năng kỹ thuật số AC DC Vôn kế Ampe kế Máy đo,167 Đã bán,https://www.lazada.vn/products/pdp-i2302226891.html,
Điện,A_Hoco_Shop,291.200 ₫,-39%,177632,-36,5,"AC Màn Hình 6 Trong 1 KWh Công Suất Đo Tần Số 110V 220V 380V 100A, Điện Hệ Số Công Suất Hoạt Động màn Hình HOCO",162 Đã bán,https://www.lazada.vn/products/pdp-i2810565830.html,
Điện,homelifestorevn,96.800 ₫,-39%,59048,-17,4.6,Thiết Bị Kiểm Tra Vôn Kế 0-100A 3 Trong 1 Màn Hình LED 22mm AC 60-500V HOME,173 Đã bán,https://www.lazada.vn/products/pdp-i2811217338.html,
Điện,A_Hoco_Shop,213.300 ₫,-39%,130113,-352,4.9,Đồng hồ đo công suất điện 220V có nút RESET độ chính xác cao màn hình hiển thị LCD P U I Kwh bộ công tơ điện tử,1.3K Đã bán,https://www.lazada.vn/products/pdp-i2381928314.html,
