category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,category_group
Bộ,BK Fashion6886,110000.0,38.0,68200.0,24.0,4.8,Bộ quần áo thể thao nam nữ Sport chất thun lạnh co giãn thấm hút mồ hôi hoạ tiết Loang chữ,71.0,Tiêu dùng giá thấp
Bộ,Thời trang nam 2K,150000.0,39.0,91500.0,134.0,4.6,"Bộ quần áo nam mùa hè Icon đen, trắng, chất thun lạnh thể thao",482.0,Tiêu dùng giá thấp
Áo,Sài Gòn Fashion,69000.0,71.0,20010.0,27.0,3.9,"Bộ Quần Áo thun nam in hình SD độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",120.0,Thời trang phổ thông
Áo,tokyo.shop,220000.0,40.0,132000.0,33.0,4.4,BỘ QUẦN ÁO THỂ THAO NAM MÙA HÈ POLO CHẤT CÁ SẤU CO GIÃN L-NING SÀNH ĐIỆU VIP - TOKYO FASHION,103.0,Thời trang phổ thông
Tất & Quần tất,Vớ thoải mái,46700.0,76.0,11208.0,160.0,4.9,"3 Đôi Quần Áo Nữ Mùa Xuân – Thu Màu Kẹo In Chữ, Mẫu Mới Phổ Biến",682.0,Tiêu dùng giá thấp
Áo,Dubaishop,90000.0,49.0,45900.0,88.0,4.1,"ĐỒ BỘ THỂ THAO ATAGO NÚI PHÚ SĨ 2022 , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH CAO CẤP HOT 2022 - DUBAI FASHION",331.0,Thời trang phổ thông
Đồ ngủ nữ,CHILI đồ ngủ nữ,99998.0,50.0,49999.0,570.0,4.9,Đồ ngủ nữ pijama mặc nhà bộ ngủ hoạt hình cộc tay quần đùi mùa hè dễ thương,2100.0,Tiêu dùng giá thấp
Trang Phục Thể Thao Nam,BULBAL VIỆT NAM,149000.0,55.0,67050.0,3055.0,4.9,"Bộ quần áo bóng đá, đồ đá banh, bộ đồ thể thao Bulbal CLB  siêu thấm hút mồ hôi kháng khuẩn không gây mùi cơ thể",10500.0,Tiêu dùng giá thấp
Set bộ đi chơi,CHUYENSI_HOTTREND,94000.0,48.0,48880.0,112.0,4.7,Set Bộ Đồ Nữ Áo Thun Phối Tay Bbr Mix Quần Xuông Kẻ Dáng Rộng,369.0,Tiêu dùng giá thấp
Set bộ đi chơi,Changtong Fashion,936000.0,42.0,542880.0,13.0,4.9,Bộ váy hai mảnh CHANGTONG cổ chữ V cotton thoáng khí phong cách Hàn Quốc thanh lịch mùa thu,0.0,Tiêu dùng giá thấp
Set bộ đi chơi,Shalldoer Fashion,316000.0,30.0,221200.0,14.0,4.8,Shalldoer | Bộ Đồ Thời Trang Giảm Cân: Áo Ngực Ren & Quần Jeans,0.0,Tiêu dùng giá thấp
Set bộ đi chơi,Shalldoer Fashion,526000.0,30.0,368200.0,10.0,4.7,Shalldoer | Bộ Đồ Thể Thao Mùa Hè Thời Trang Dành Cho Giới Trẻ Áo Tay Ngắn và Quần Ống Rộng,0.0,Tiêu dùng giá thấp
Set bộ đi chơi,MINH THU SHOPPING,75000.0,53.0,35250.0,557.0,4.5,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ MẪU MỚI THUN LẠNH ĐÙI DÂY NƠ TRƠN SIÊU DỄ THƯƠNG TÙY CHIỀU CAO,3200.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,99000.0,53.0,46530.0,2411.0,4.9,[3 SIZE 45-70KG) Đồ bộ LỤA ĐÙI CHẤM BI CHẤT VẢI LỤA HÀN MỀM MÁT thời trang,8100.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,99000.0,53.0,46530.0,735.0,4.8,[3 size 46-70kg] Đồ bộ LỤA ĐÙI CHẤM BI MỀM MÁT DỄ THƯƠNG thời trang,3300.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,139000.0,39.0,84790.0,2850.0,4.9,[3 size 42-70KG] Đồ bộ LỤA LATIN NƠ TRƯỚC NGỰC MỀM MÁT SIÊU DỄ THƯƠNG thời trang,13500.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,76000.0,52.0,36480.0,788.0,4.9,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ ĐÙI CỔ TRÒN THUN LẠNH DỄ THƯƠNG TÙY CHIỀU CAO,2400.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,72000.0,52.0,34560.0,1054.0,4.9,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ THUN LẠNH DÂY BẢN PHỐI REN SEXY THỜI TRANG,6200.0,Tiêu dùng giá thấp
Set bộ đi chơi,BÁN HÀNG GIÁ SỈ.,146000.0,47.0,77380.0,786.0,4.8,[3 SIZE 45-65KG TÙY CHIỀU CAO] ĐỒ BỘ THUN DÀI PARI SIÊU MỚI TINH HOT THỜI TRANG CHẤT THUN MỀM MỊN CO GIÃN 4 CHIỀU,3000.0,Tiêu dùng giá thấp
Set bộ đi chơi,BÁN HÀNG GIÁ SỈ.,103000.0,47.0,54590.0,558.0,4.9,[3 size 46-70KG] Đồ bộ LỬNG LỤA BÔNG MÀU MỀM MÁT KHÔNG NHĂN DỄ THƯƠNG thời trang,1700.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,138000.0,53.0,64859.0,2453.0,4.9,"[3 size 46-70KG] Đồ bộ LỤA LỬNG TIỂU THƯ HOA LÁ, PIJAMA MẶC NHÀ DỄ THƯƠNG thời trang",8500.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,119000.0,45.0,65450.0,2039.0,4.9,"CÓ SIZE 70KG ĐỒ BỘ ĐÙI THUN ĐŨA, ĐÙI CON GẤU THỜI TRANG chất liệu thun cotton",7300.0,Tiêu dùng giá thấp
Set bộ đi chơi,HUỲNH PHẠM SHOP,178000.0,47.0,94340.0,239.0,4.9,SET BỘ TĂM LẠNH TÀ CHÉO THỜI TRANG SIÊU DỄ THƯƠNG,682.0,Tiêu dùng giá thấp
Set bộ đi chơi,HUỲNH PHẠM SHOP,178000.0,53.0,83660.0,152.0,4.9,set bộ tay ngắn quần kẻ thời trang siêu xinh,490.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,159000.0,53.0,74730.0,920.0,4.9,"ĐỒ BỘ THUN PARI  , TĂM GẤU MẪU MỚI TINH VẢI THUN MỀM MỊN THOẢI MÁI 3 SIZE 42-65KG TÙY CHIỀU CAO",3400.0,Tiêu dùng giá thấp
Set bộ đi chơi,HUỲNH PHẠM SHOP,178000.0,53.0,83660.0,471.0,4.9,SET BỘ THỜI TRANG ÁO NƠ IN CHỮ PHỐI QUẦN LỤA XINH XẮN,1400.0,Tiêu dùng giá thấp
Set bộ đi chơi,MINH THU SHOPPING,78000.0,54.0,35880.0,1119.0,4.9,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ THUN LẠNH ĐÙI DÂY NƠ TRƠN SIÊU DỄ THƯƠNG TÙY CHIỀU CAO,3800.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,158000.0,59.0,64780.0,608.0,4.8,ĐỒ BỘ ĐÙI TRƠN THUN TĂM THỜI TRANG 3 size 45-60KG chất liệu thun cotton,2800.0,Tiêu dùng giá thấp
Set bộ đi chơi,Đỗ Thiện Unisex,149000.0,41.0,87910.0,16.0,4.9,"Bộ thể thao huda ,sài gòn, tiger, heineken, bọt bi.a, larue Mặc Nhóm Gia Đình chất Thun Lạnh size 10-100kg",82.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,76000.0,52.0,36480.0,463.0,4.9,[2 SIZE 45-68KG TÙY CHIỀU CAO] SET ĐÙI THUN LẠNH CỔ TRÒN DỄ THƯƠNG TÙY CHIỀU CAO,1200.0,Tiêu dùng giá thấp
Đồ ngủ nữ,d3odSmYq.Selection,96600.0,62.0,36708.0,443.0,4.9,Bộ Đồ Ngủ Nữ Mùa Hè Lụa Mỏng Sexy – Áo Ngắn Tay & Quần Short Size M/L/XL,1400.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,139000.0,60.0,55600.0,448.0,4.9,Đồ bộ LỤA LỬNG BÔNG MÀU CỔ VUÔNG PHỐI REN KHÔNG NHĂN DỄ THƯƠNG thời trang,1800.0,Tiêu dùng giá thấp
Set bộ đi chơi,MINH THU SHOPPING,69000.0,48.0,35880.0,288.0,4.8,"FREESIZE 45-58KG TÙY CHIỀU CAO SET ĐỒ BỘ ĐÙI THUN LẠNH GIỌT NƯỚC, BÔNG NỀN ĐEN SIÊU MỀM MÁT THỜI TRANG",2000.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,78000.0,53.0,36660.0,212.0,4.8,[2 SIZE 45-68KG TÙY CHIỀU CAO] ĐỒ BỘ SÁT NÁCH THUN LẠNH DỄ THƯƠNG TÙY CHIỀU CAO,567.0,Tiêu dùng giá thấp
Set bộ đi chơi,Pic Poc Store 2018,120000.0,59.0,49200.0,63.0,4.5,Combo 2 bộ mặc nhà thun cotton tay ngắn short Paris cho bạn gái - hàng QC CB2A00066,279.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,178000.0,53.0,83660.0,159.0,4.8,[3 size 42-70KG] Đồ bộ LATIN NƠ TRƯỚC NGỰC CHẤT VẢI MỀM MÁT SIÊU DỄ THƯƠNG thời trang,537.0,Tiêu dùng giá thấp
Set bộ đi chơi,WINNY SHOP 1605685735,79000.0,53.0,37130.0,704.0,4.8,Đồ bộ THUN LẠNH MÁT CỔ TIM MẶC NHÀ SEXY THỜI TRANG FREESIZE 45-60kg tùy chiều cao,4800.0,Tiêu dùng giá thấp
Áo,Sài Gòn Fashion,69000.0,71.0,20010.0,0.0,0.0,"Bộ Quần Áo thun nam OP vải thun lạnh siêu mát, thiết kế thời trang",0.0,Thời trang phổ thông
Bộ,Thời trang nam 2K,150000.0,39.0,91500.0,18.0,4.8,"Bộ quần áo nam mùa hè DSQ-2 chất thun lạnh, quần có túi kéo khóa",77.0,Tiêu dùng giá thấp
Đồ ngủ nữ,CHILI đồ ngủ nữ,111998.0,46.0,60478.0,37.0,4.8,"Đồ bộ mặc nhà 2 dây bảng to, đồ ngủ dễ thương chất vải kate kẻ mềm ,đồ ngủ nữ free size từ 38-55 kg",151.0,Tiêu dùng giá thấp
Áo,YES FASHION,25900.0,47.0,13727.0,57.0,2.6,"Bộ Quần Áo thun nam 3 lỗ vải thun lạnh siêu mát, đủ màu",247.0,Thời trang phổ thông
Đồ ngủ nữ,CHILI đồ ngủ nữ,127998.0,45.0,70398.0,82.0,4.6,Pijama tay dài cổ vuông bộ đồ ngủ nữ pijama tiểu thư dài tay mặc nhà thu đông CARY,310.0,Tiêu dùng giá thấp
Áo,Dubaishop,170000.0,62.0,64600.0,578.0,4.3,ĐỒ BỘ THỂ THAO MA JOURNEY  SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH ĐẲNG CẤP NEW HOT 2023 - DUBAI FASHION,2600.0,Thời trang phổ thông
Áo,Dubaishop,170000.0,52.0,81600.0,551.0,4.8,ĐỒ BỘ THỂ THAO DONT STOP TRÀ SỮA  SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH HOT NHẤT 2025 - DUBAI FASHION,2200.0,Thời trang phổ thông
Áo,Dubaishop,170000.0,52.0,81600.0,102.0,4.6,"ĐỒ BỘ THỂ THAO HARARD NEW , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH SÀNH ĐIỆU VIP - DUBAI FASHION",392.0,Thời trang phổ thông
Bộ,BK Fashion6886,110000.0,38.0,68200.0,28.0,5.0,Bộ quần áo thể thao nam Sport chất thun lạnh co giãn thoáng khí phối Sọc kẻ,101.0,Tiêu dùng giá thấp
Đồ ngủ nữ,d3odSmYq.Selection,110900.0,57.0,47687.0,202.0,4.9,"Đồ Ngủ Lụa Hàn Quốc Dài Tay – Sang Trọng, Mềm Mại & Thoải Mái Cho Cả Nam và Nữ",621.0,Tiêu dùng giá thấp
Bộ,Thời trang nam 2K,150000.0,39.0,91500.0,5.0,5.0,"Bộ quần áo nam mùa hè BH03 chất thun lạnh, quần có túi kéo khóa",17.0,Tiêu dùng giá thấp
Bộ,MINHSTORE66 Xưởng Thời Trang,290000.0,56.0,127599.0,118.0,4.9,"Bộ đồ thể thao Nam Nữ Mùa Hè Chất xốp vân cao cấp, bộ đồ ngắn tay nam nữ, bộ cộc tay nam nữ Cổ Tròn hottrend hè 2024 BO21 - MINHSTORE66",457.0,Hàng tiêu dùng trung giá
Áo,JAPAN SHOP 68,160000.0,47.0,84800.0,71.0,4.3,"ĐỒ BỘ THỂ THAO VẠN LÝ TRƯỜNG THÀNH SÀNH ĐIỆU , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM NỮ CAO CẤP MỚI - JAPAN FASHION",313.0,Thời trang phổ thông
Đồ ngủ nữ,Đồ Ngủ Xinh T&H,64000.0,42.0,37120.0,407.0,4.7,Bộ đồ ngủ pijama nữ cộc tay quần đùi chất lụa Kate Thái mềm mịn màu nude viền nâu họa tiết gấu line,2000.0,Tiêu dùng giá thấp
Bộ,MINHSTORE66 Xưởng Thời Trang,240000.0,51.0,117600.0,69.0,4.9,"Bộ Thể Thao Nam  CHẤT LIỆU Tổ Ông Cao Cấp, Bộ Đồ Nam Mặc Nhà Co Giãn  4 chiều BO09 - MINHSTORE66",224.0,Tiêu dùng giá thấp
Áo,ATC77 SHOP,189000.0,53.0,88830.0,419.0,4.8,Áo sơ mi nam boy phố ngắn tay  vải lụa mềm mịn phối cầu vai trẻ trung sang trọng mẫu-ATC77SHOP,1400.0,Thời trang phổ thông
Đồ ngủ nữ,CHILI đồ ngủ nữ,251998.0,48.0,131038.0,20.0,4.9,"Đồ Bộ pijama Tay Dài Quần Dài Cổ Tròn bèo Phối Ren Họa Tiết Kẻ Caro chất liệu vải đũi xốp mềm, nhẹ, mát mặc nhà thu đông dễ thương",50.0,Tiêu dùng giá thấp
Bộ,Thời trang nam 2K,150000.0,39.0,91500.0,9.0,4.6,"Bộ quần áo nam mùa hè dsq78, chất thun lạnh, quần có túi kéo khóa",48.0,Tiêu dùng giá thấp
Đồ ngủ nữ,CHILI đồ ngủ nữ,107998.0,44.0,60478.0,75.0,4.9,Bộ pijama dài tay chất kate họạt hình siêu xinh bộ ngủ mặc nhà dễ thương CARY,259.0,Tiêu dùng giá thấp
Áo,tokyo.shop,170000.0,52.0,81600.0,480.0,4.6,ĐỒ BỘ THỂ NYC95 SET ĐỒ BỘ THỂ THAO ĐỒ BỘ TẬP GYM. CHƠI BÓNG RỔ MANG Ở NHÀ VÀ ĐI CHƠI  ĐỒ BỘ NAM PHONG CÁCH SANG CHẢNH VIP - TOKYO FASHION,1800.0,Thời trang phổ thông
Bộ,Thời trang nam 2K,150000.0,39.0,91500.0,6.0,4.3,"Bộ quần áo nam mùa hè DSQ28, chất thun lạnh, quần có túi kéo khóa",25.0,Tiêu dùng giá thấp
Áo,minmouse01,110000.0,33.0,73699.0,3.0,5.0,Quần áo thể thao nam nữ - bộ đồ in hình loang parano chất thun lạnh thấm hút mồ hôi đủ size 30-90kg,19.0,Thời trang phổ thông
Áo,Mi Ni Shop,99000.0,80.0,19799.0,0.0,0.0,"Bộ Quần Áo thun nam in hình MAL độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",0.0,Thời trang phổ thông
Đồ ngủ nữ,Thời Trang BULL KID,90000.0,55.0,40499.0,169.0,4.9,Đồ ngủ nữ hai dây trơn vải thun lạnh 4 chiều dưới 65kg siêu mát mẻ kiểu dáng sexy siêu rẻ,562.0,Tiêu dùng giá thấp
Áo nữ,d3odSmYq.Selection,76500.0,61.0,29835.0,431.0,4.9,Áo Khoác Cardigan Nữ Dệt Kim Màu Đồng Thanh Lịch – Kết Hợp Hoàn Hảo Với Áo Ba Lỗ Lụa Cổ Băng,1100.0,Tiêu dùng giá thấp
Áo liền quần & áo liền quần,STUDIENT SHOP,160000.0,50.0,80000.0,72.0,4.6,SÉT ÁO IN LOGO 2 CÚN XINH XINH KÈM QUẦN ỐNG RỘNG RẤT DỄ THƯƠNG,298.0,Tiêu dùng giá thấp
Bộ,Thời trang nam 2K,150000.0,41.0,88500.0,0.0,0.0,"Bộ quần áo nam mùa hè NVY, chất thun lạnh, quần có túi kéo khóa",0.0,Tiêu dùng giá thấp
